Unnamed: 0,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,traffic,heavy_truck,heavy_truck_normalized,truck_generation_frequency,sink_selection_probability
1020,1.2,A,21.18397443,92.15930264,,bridge,11020,N1,,430.11561,5820.0,24.0,0.01972062448644207,,
1021,529.0,,21.18184057,92.15856685,0,link,11021,N1,,430.64461,5820.0,24.0,0.01972062448644207,,
1022,3.1,C,21.17970671,92.15783106,,bridge,11022,N1,,430.64771,5820.0,24.0,0.01972062448644207,,
1023,276.0,,21.17856193,92.15743413,0,link,11023,N1,,430.92371,5820.0,24.0,0.01972062448644207,,
1024,3.1,B,21.17741716,92.15703721,,bridge,11024,N1,,430.92681,5820.0,24.0,0.01972062448644207,,
1025,242.0,,21.17641898,92.15664491,0,link,11025,N1,,431.16881,5820.0,24.0,0.01972062448644207,,
1026,48.8,C,21.17542081,92.15625261,,bridge,11026,N1,,431.21761,5820.0,24.0,0.01972062448644207,,
1027,352.0,,21.17395181,92.15577332,0,link,11027,N1,,431.56961,5820.0,24.0,0.01972062448644207,,
1028,9.4,A,21.17248281,92.15529403,,bridge,11028,N1,,431.57901,5820.0,24.0,0.01972062448644207,,
1029,250.0,,21.17142758,92.1550164,0,link,11029,N1,,431.82901,5820.0,24.0,0.01972062448644207,,
1030,21.5,A,21.17037235,92.15473878,,bridge,11030,N1,,431.85051,5820.0,24.0,0.01972062448644207,,
1031,213.0,,21.16959686,92.15420059,0,link,11031,N1,,432.06351,5820.0,24.0,0.01972062448644207,,
1032,9.4,B,21.16882136,92.1536624,,bridge,11032,N1,,432.07291,5820.0,24.0,0.01972062448644207,,
1033,87.0,,21.16852715,92.15340419,0,link,11033,N1,,432.15990999999997,5820.0,24.0,0.01972062448644207,,
1034,3.0,A,21.16823293,92.15314598,,bridge,11034,N1,,432.16290999999995,5820.0,24.0,0.01972062448644207,,
1035,226.0,,21.16744914,92.15274182,0,link,11035,N1,,432.38890999999995,5820.0,24.0,0.01972062448644207,,
1036,9.3,B,21.16666535,92.15233765,,bridge,11036,N1,,432.39821,5820.0,24.0,0.01972062448644207,,
1037,131.0,,21.16611895,92.15227293,0,link,11037,N1,,432.52921000000003,5820.0,24.0,0.01972062448644207,,
1038,3.0,C,21.16557256,92.1522082,,bridge,11038,N1,,432.53221,5820.0,24.0,0.01972062448644207,,
1039,69.0,,21.16528018,92.15219914,0,link,11039,N1,,432.60121000000004,5820.0,24.0,0.01972062448644207,,
1040,4.6,A,21.16498781,92.15219007,,bridge,11040,N1,,432.60581,5820.0,24.0,0.01972062448644207,,
1041,346.0,,21.16348178,92.15226077,0,link,11041,N1,,432.95181,5820.0,24.0,0.01972062448644207,,
1042,1.25,C,21.16197574,92.15233147,,bridge,11042,N1,,432.95306,5820.0,24.0,0.01972062448644207,,
1043,204.0,,21.16109012,92.15242859,0,link,11043,N1,,433.15706,5820.0,24.0,0.01972062448644207,,
1044,3.0,A,21.1602045,92.15252572,,bridge,11044,N1,,433.16006,5820.0,24.0,0.01972062448644207,,
1045,202.0,,21.15932899,92.15252264,0,link,11045,N1,,433.36206,5820.0,24.0,0.01972062448644207,,
1046,3.0,C,21.15845347,92.15251956,,bridge,11046,N1,,433.36505999999997,5820.0,24.0,0.01972062448644207,,
1047,723.0,,21.15545838,92.15296708,0,link,11047,N1,,434.08806,5820.0,24.0,0.01972062448644207,,
1048,9.4,C,21.15246328,92.15341459,,bridge,11048,N1,,434.09746,5820.0,24.0,0.01972062448644207,,
1049,366.0,,21.15117696,92.1543151,0,link,11049,N1,,434.46346,5820.0,24.0,0.01972062448644207,,
1050,15.2,C,21.14989065,92.15521562,,bridge,11050,N1,,434.47866,5820.0,24.0,0.01972062448644207,,
1051,337.0,,21.14882916,92.15612912,0,link,11051,N1,,434.81566,5820.0,24.0,0.01972062448644207,,
1052,57.6,A,21.14776767,92.15704263,,bridge,11052,N1,,434.87326,5820.0,24.0,0.01972062448644207,,
1053,658.0,,21.14515696,92.15823592,0,link,11053,N1,,435.53126000000003,5820.0,24.0,0.01972062448644207,,
1054,3.3,B,21.14254625,92.15942922,,bridge,11054,N1,,435.53456,5820.0,24.0,0.01972062448644207,,
1055,228.0,,21.14170551,92.15997572,0,link,11055,N1,,435.76256,5820.0,24.0,0.01972062448644207,,
